Runners,Wins,Win% ,Places,Place %,ROI Back SP,ROI Back BF,ROI Lay BF,ROI Lay SP,Places BF,Place% BF,P/L Back BF Place ,P/L Lay BF Place ,Max Odds,A/E,Trainer,Track,Race Type,,
9,0,0,2,22.22,-100,-100,8.55,4.95,2,22.22,-4.62,4.14,34,0,"Bolger, E",Cheltenham,Chase,,
5,0,0,1,20,-100,-100,4.75,1.99,1,20,-0.39,0,34,0,"Bolger, E",Galway,Handicap Hurdle,,
5,0,0,1,20,-100,-100,4.75,12.2,1,20,-1.18,0.83,11,0,"Bolger, E",Kilbeggan,Handicap Chase,,
14,5,35.71,9,64.29,87.5,120.22,-18.64,-18.83,9,64.29,9.24,-10.24,11,1.88,"Bolger, E",Killarney,Handicap Chase,,
7,0,0,2,28.57,-100,-100,6.65,14.76,2,28.57,-1.41,0.97,10,0,"Bolger, E",Wexford,Handicap Chase,,
6,0,0,0,0,-100,-100,5.7,4.23,0,0,-6,5.7,26,0,"Dempsey, J P",Leopardstown,Handicap Chase,,
6,2,33.33,2,33.33,-34.67,-34.05,1.74,1.4,2,33.33,-3.57,3.35,26,1.49,"Elliott, Gordon",Fairyhouse,Beginners Chase,,
5,0,0,1,20,-100,-100,4.75,2.22,1,20,-2.27,1.98,34,0,"Elliott, Gordon",Leopardstown,Handicap Chase,,
6,0,0,1,16.67,-100,-100,5.7,3.48,1,16.67,-2.96,2.6,26,0,"Elliott, Gordon",Leopardstown,Handicap Hurdle,,
5,2,40,3,60,260,508.29,-27.06,-37.6,3,60,6.27,-6.81,15,2.82,"Fahy, P A",Punchestown,Handicap Hurdle,,
5,0,0,0,0,-100,-100,4.75,0.25,0,0,-5,4.75,81,0,"Flood, F",Punchestown,Maiden Hurdle,,
5,0,0,0,0,-100,-100,4.75,5.26,0,0,-5,4.75,15,0,"Harrington, Mrs John",Killarney,Handicap Chase,,
5,0,0,0,0,-100,-100,4.75,3.65,0,0,-5,4.75,26,0,"Harrington, Mrs John",Punchestown,Handicap Hurdle,,
7,3,42.86,4,57.14,264.29,346.2,-25.92,-42.28,4,57.14,6.91,-7.58,11,3,"Haslam, B M R",Cartmel,Handicap Chase,,
6,0,0,0,0,-100,-100,5.7,6.96,0,0,-6,5.7,17,0,"Haslam, B M R",Kelso,Handicap Chase,,
5,0,0,1,20,-100,-100,4.75,6.05,1,20,0.07,-0.48,23,0,"Haslam, B M R",Kelso,Handicap Hurdle,,
7,0,0,0,0,-100,-100,6.65,4.5,0,0,-7,6.65,34,0,"Haslam, B M R",Market Rasen,Handicap Chase,,
10,3,30,4,40,150,200.94,-21.87,-15.03,4,40,6.29,-7.24,34,2.27,"Haslam, B M R",Sedgefield,Handicap Chase,,
6,0,0,1,16.67,-100,-100,5.7,5.81,1,16.67,-1.96,1.55,26,0,"Haslam, B M R",Southwell,Handicap Chase,,
13,6,46.15,7,53.85,37.77,39.77,-6.16,-1.33,7,53.85,0.75,-1.4,101,1.33,"Henderson, N J",Cheltenham,Hurdle,,
6,2,33.33,3,50,58.33,83.75,-5.7,-5,3,50,1.95,-2.36,41,1.92,"Henderson, N J",Newbury,Handicap Hurdle,,
5,3,60,4,80,45,49.87,-2.83,-3.25,4,80,0.5,-0.63,34,1.7,"Hobbs, P J",Exeter,Novices Hurdle,,
6,2,33.33,4,66.67,300,351.49,-22.61,-14.01,4,66.67,14.76,-15.74,34,4.44,"Honeyball, A J",Ascot,Handicap Chase,,
5,2,40,3,60,85,89.91,-5.04,-16.96,3,60,1.09,-1.35,9,2.11,"King, A",Kempton,Handicap Hurdle,,
9,0,0,0,0,-100,-100,8.55,0.38,0,0,-9,8.55,101,0,"Madden, Niall",Naas,Maiden Hurdle,,
6,0,0,0,0,-100,-100,5.7,0.3,0,0,-6,5.7,101,0,"Madden, Niall",Navan,Maiden Hurdle,,
6,0,0,1,16.67,-100,-100,5.7,4.03,1,16.67,-3.79,3.48,26,0,"Madden, Niall",Navan,Handicap Hurdle,,
5,2,40,2,40,140,153.94,-8.41,-11.46,2,40,-0.44,0.16,21,3.28,"Mullins, Thomas",Leopardstown,Handicap Chase,,
6,0,0,1,16.67,-100,-100,5.7,1.99,1,16.67,-2.15,1.75,51,0,"Mullins, Thomas",Leopardstown,Handicap Hurdle,,
