Bets,Wins,Win%,Places,Placepercent,ROI(SP),ROI(BF),ROI Lay(BF),ROI Lay(SP),Places BF,Place% BF,ROI Place BF,ROI Lay Place BF,Max Odds,A/E,Trainer,Course,Gender
12,4,33.33,9,75,29.17,44.25,-6.41,-14.97,9,75,3.36,-3.84,11,1,"Appleby, Charlie",Newmarket (July),Female
10,4,40,8,80,39.4,58.18,-6.74,-18.26,8,80,2.71,-3.06,7.5,1.37,"Appleby, Charlie",Newmarket (Rowley),Female
6,0,0,1,16.67,-100,-100,5.7,0.36,1,16.67,0.13,-0.65,101,0,"Appleby, M",Chelmsford City,Female
5,0,0,1,20,-100,-100,4.75,0.72,1,20,0.58,-1.02,101,0,"Appleby, M",Nottingham,Female
5,0,0,0,0,-100,-100,4.75,0.41,0,0,-5,4.75,101,0,"Attwater, M J",Kempton,Female
5,0,0,1,20,-100,-100,4.75,0.47,1,20,2.38,-2.92,67,0,"Baker, George",Kempton,Female
5,0,0,0,0,-100,-100,4.75,2.72,0,0,-5,4.75,41,0,"Balding, A M",Goodwood,Female
7,0,0,0,0,-100,-100,6.65,4.59,0,0,-7,6.65,29,0,"Balding, A M",Newbury,Female
6,3,50,4,66.67,165.17,190.35,-12.33,-32.97,4,66.67,3.03,-3.39,9,2.36,"Beckett, R M",Newmarket (Rowley),Female
5,0,0,0,0,-100,-100,4.75,2.38,0,0,-5,4.75,51,0,"Bell, M L W",Leicester,Female
9,0,0,3,33.33,-100,-100,8.55,2.24,3,33.33,10.35,-11.51,41,0,"Bell, M L W",Newmarket (July),Female
5,0,0,0,0,-100,-100,4.75,1.18,0,0,-5,4.75,67,0,"Bell, M L W",Newmarket (Rowley),Female
5,2,40,3,60,380,484.54,-25.81,-31.85,3,60,3.8,-4.21,19,4.35,"Bell, M L W",Yarmouth,Female
6,0,0,0,0,-100,-100,5.7,0.37,0,0,-6,5.7,101,0,"Blanshard, M",Kempton,Female
10,0,0,2,20,-100,-100,9.5,1.72,2,20,-3.5,2.86,67,0,"Bolger, J S",Naas,Female
15,0,0,2,13.33,-100,-100,14.25,2.64,2,13.33,-6.44,5.44,67,0,"Botti, M",Kempton,Female
5,0,0,3,60,-100,-100,4.75,2.59,3,60,10.28,-11.03,34,0,"Botti, M",Lingfield,Female
6,0,0,0,0,-100,-100,5.7,2.97,0,0,-6,5.7,41,0,"Botti, M",Yarmouth,Female
5,0,0,0,0,-100,-100,4.75,1.26,0,0,-5,4.75,67,0,"Bromhead, Henry De",Dundalk,Female
6,2,33.33,2,33.33,175,213.58,-13.9,-22.84,2,33.33,-0.19,-0.21,13,2.86,"Burke, K R",Carlisle,Female
11,0,0,2,18.18,-100,-100,10.45,2.83,3,27.27,-2.05,1.34,51,0,"Burke, K R",Haydock,Female
6,0,0,1,16.67,-100,-100,5.7,3.41,1,16.67,3.55,-4.25,34,0,"Burke, K R",Thirsk,Female
6,0,0,2,33.33,-100,-100,5.7,10.68,2,33.33,-1.85,1.54,17,0,"Burrows, Owen",Kempton,Female
5,0,0,0,0,-100,-100,4.75,1.17,0,0,-5,4.75,51,0,"Candy, H",Kempton,Female
5,0,0,0,0,-100,-100,4.75,2.59,0,0,-5,4.75,51,0,"Channon, M R",Ascot,Female
14,0,0,1,7.14,-100,-100,13.3,2.07,1,7.14,-12.53,11.86,51,0,"Channon, M R",Newbury,Female
7,0,0,1,14.29,-100,-100,6.65,6.17,1,14.29,-5.7,5.38,34,0,"Channon, M R",Windsor,Female
5,0,0,1,20,-100,-100,4.75,1.12,1,20,10.25,-11.2,67,0,"Clover, Tom",Kempton,Female
6,0,0,0,0,-100,-100,5.7,2.3,0,0,-6,5.7,51,0,"Condon, K J",Curragh,Female
7,0,0,1,14.29,-100,-100,6.65,2.75,1,14.29,-2.77,2.3,34,0,"Cowell, R M H",Yarmouth,Female
12,0,0,1,8.33,-100,-100,11.4,2.93,1,8.33,-8.82,8.16,51,0,"Cox, C G",Kempton,Female
5,2,40,2,40,50,54.57,-3.18,-2.94,2,40,-1.85,1.64,34,2.9,"Cox, C G",Nottingham,Female
5,0,0,1,20,-100,-100,4.75,0.47,1,20,-1.29,0.95,101,0,"Coyle, Tony",Thirsk,Female
6,0,0,0,0,-100,-100,5.7,2.86,0,0,-6,5.7,29,0,"Dalgleish, Keith",Musselburgh,Female
5,0,0,0,0,-100,-100,4.75,4.31,0,0,-5,4.75,26,0,"Dalgleish, Keith",Ripon,Female
11,0,0,0,0,-100,-100,10.45,2.88,0,0,-11,10.45,67,0,"Dods, M",Thirsk,Female
5,0,0,0,0,-100,-100,4.75,1.32,1,20,2.08,-2.6,101,0,"Duffield, Mrs A",Newcastle,Female
6,0,0,0,0,-100,-100,5.7,1.02,0,0,-6,5.7,101,0,"Dunlop, E A L",Newmarket (July),Female
6,0,0,1,16.67,-100,-100,5.7,0.64,1,16.67,17.8,-19.25,67,0,"Dunlop, H J L",Kempton,Female
5,0,0,1,20,-100,-100,4.75,0.72,1,20,0.94,-1.4,101,0,"Easterby, M W",Redcar,Female
12,0,0,1,8.33,-100,-100,11.4,1.5,1,8.33,-1.98,0.95,51,0,"Easterby, T D",Beverley,Female
7,0,0,0,0,-100,-100,6.65,1.74,0,0,-7,6.65,67,0,"Easterby, T D",Carlisle,Female
5,0,0,1,20,-100,-100,4.75,1.48,1,20,-2.74,2.47,51,0,"Easterby, T D",Redcar,Female
7,0,0,0,0,-100,-100,6.65,2.52,0,0,-7,6.65,34,0,"Easterby, T D",Ripon,Female
12,0,0,1,8.33,-100,-100,11.4,1.06,1,8.33,-5.49,4.65,67,0,"Easterby, T D",Thirsk,Female
7,0,0,0,0,-100,-100,6.65,1.18,0,0,-7,6.65,67,0,"Elsworth, D R C",Newmarket (July),Female
5,0,0,0,0,-100,-100,4.75,1.44,0,0,-5,4.75,67,0,"Evans, P D",Chepstow,Female
5,0,0,1,20,-100,-100,4.75,1.92,1,20,-3.03,2.78,51,0,"Evans, P D",Lingfield,Female
8,0,0,0,0,-100,-100,7.6,1.03,0,0,-8,7.6,101,0,"Evans, P D",Wolverhampton,Female
6,0,0,2,33.33,-100,-100,5.7,7.55,2,33.33,0.8,-1.25,21,0,"Fahey, R A",Catterick,Female
8,0,0,2,25,-100,-100,7.6,5.56,2,25,3.55,-4.35,19,0,"Fahey, R A",Doncaster,Female
12,0,0,2,16.67,-100,-100,11.4,1.76,2,16.67,-3.97,3.15,81,0,"Fahey, R A",Newcastle,Female
5,0,0,2,40,-100,-100,4.75,5.39,2,40,-1.89,1.68,21,0,"Fahey, R A",Wolverhampton,Female
8,0,0,2,25,-100,-100,7.6,6.35,2,25,-2.02,1.51,26,0,"Fahey, R A",York,Female
10,0,0,2,20,-100,-100,9.5,1.78,2,20,13.33,-14.85,67,0,"Fanshawe, J R",Kempton,Female
11,0,0,4,36.36,-100,-100,10.45,6.47,4,36.36,-3.29,2.74,34,0,"Gosden, J H M",Chelmsford City,Female
5,0,0,1,20,-100,-100,4.75,10.52,1,20,-2.79,2.53,15,0,"Gosden, J H M",Lingfield,Female
6,2,33.33,3,50,62.5,72.35,-4.98,-9.88,3,50,-1.1,0.85,19,1.18,"Gosden, J H M",Newcastle,Female
8,0,0,1,12.5,-100,-100,7.6,7.54,1,12.5,-5.4,4.97,17,0,"Gosden, J H M",Wolverhampton,Female
6,0,0,3,50,-100,-100,5.7,12.32,3,50,0.12,-0.43,11,0,"Gosden, J H M",Yarmouth,Female
6,2,33.33,5,83.33,125,166.88,-10.95,-17.39,5,83.33,7.52,-8.02,13,2.25,"Haggas, W J",Lingfield,Female
6,0,0,2,33.33,-100,-100,5.7,6.24,2,33.33,-1.2,0.85,21,0,"Haggas, W J",Newmarket (July),Female
10,5,50,5,50,20.3,18.5,-2.46,-5.37,6,60,-1.92,1.61,15,1.61,"Haggas, W J",Yarmouth,Female
13,0,0,4,30.77,-100,-100,12.35,2.27,4,30.77,4.52,-5.68,67,0,"Halford, M",Dundalk,Female
5,0,0,0,0,-100,-100,4.75,1.12,0,0,-5,4.75,51,0,"Halford, M",Naas,Female
6,0,0,1,16.67,-100,-100,5.7,3.69,1,16.67,-3.26,2.92,34,0,"Hannon (Jnr), Richard",Goodwood,Female
13,0,0,2,15.38,-100,-100,12.35,2.7,2,15.38,-6.28,5.48,41,0,"Hannon (Jnr), Richard",Kempton,Female
10,0,0,3,30,-100,-100,9.5,4.12,4,40,1.16,-1.84,51,0,"Hannon (Jnr), Richard",Newmarket (July),Female
13,0,0,4,30.77,-100,-100,12.35,5.36,4,30.77,-4.85,4.18,41,0,"Hannon (Jnr), Richard",Salisbury,Female
10,0,0,1,10,-100,-100,9.5,2.11,1,10,-4.97,4.31,67,0,"Hannon (Jnr), Richard",Windsor,Female
